"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Carbon Sequestration|CCS|Biomass","Mt CO2/yr","",0,0,0,0,0.7553,64.1828,620.8491,2198.6567,4206.7653,6313.5634,8850.2655,10378.3914,11915.0112,12757.8251,12970.6046,13109.3657,13079.475,12746.8163,14425.4696,14345.9453
"AIM/CGE 2.0","ADVANCE_2020_Med2C","World","Carbon Sequestration|CCS|Biomass","Mt CO2/yr","",0,0,0,0,0,28.9408,270.2374,938.6529,1877.9566,2576.8608,3429.4875,4697.5802,5614.148,6008.1751,6274.3171,6238.2805,6230.855,6645.725,7381.4258,7987.0365
"AIM/CGE 2.0","ADVANCE_2020_WB2C","World","Carbon Sequestration|CCS|Biomass","Mt CO2/yr","",0,0,0,0,0,29.1757,438.7937,1383.704,2571.3908,3658.6111,4729.0225,5755.7952,6652.4497,7008.7308,7248.2629,7479.3816,7733.5478,7981.9948,8209.3024,8418.9745
"AIM/CGE 2.0","ADVANCE_2030_Med2C","World","Carbon Sequestration|CCS|Biomass","Mt CO2/yr","",0,0,0,0,0.2391,8.3296,28.7089,487.1799,1419.6706,2481.9496,3635.761,4773.9748,5743.9093,6246.135,6553.5131,6836.3723,7124.7454,7444.4556,7768.5683,8091.6829
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","World","Carbon Sequestration|CCS|Biomass","Mt CO2/yr","",0,0,0,0,0.261,9.0192,201.1176,1112.2799,2867.6452,4509.9625,6057.5558,7067.7188,7441.8826,7851.1327,8054.592,8169.4951,8279.7218,8466.1948,8546.5986,8709.7847
"AIM/CGE 2.0","ADVANCE_2030_WB2C","World","Carbon Sequestration|CCS|Biomass","Mt CO2/yr","",0,0,0,0,0.2391,8.3296,28.8043,489.8501,2022.1901,3352.0381,4841.9517,6290.277,7449.2811,7425.1051,7593.3456,7672.7204,7737.7202,7813.3563,7895.2755,7921.141
"AIM/CGE 2.0","ADVANCE_INDC","World","Carbon Sequestration|CCS|Biomass","Mt CO2/yr","",0,0,0,0,0.3342,10.7272,104.9251,391.9496,798.1477,1230.5367,1773.793,2316.6421,1129.5038,1421.7423,1757.7459,2098.4029,2375.5573,2714.7725,3107.0498,3400.2355
"AIM/CGE 2.0","SSP1-19","World","Carbon Sequestration|CCS|Biomass","Mt CO2/yr","",0,0,"",0,"",5.6526,"",507.127,"",1391.1523,"",2347.4837,"",2880.9973,"",3026.2328,"",3164.8677,"",3246.0161
"AIM/CGE 2.0","SSP1-26","World","Carbon Sequestration|CCS|Biomass","Mt CO2/yr","",0,0,"",0,"",0,"",18.5966,"",415.6092,"",1363.8244,"",2335.2221,"",2595.3129,"",2875.0978,"",3027.9907
"AIM/CGE 2.0","SSP1-34","World","Carbon Sequestration|CCS|Biomass","Mt CO2/yr","",0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",308.9091,"",678.0178,"",951.6729
"AIM/CGE 2.0","SSP2-19","World","Carbon Sequestration|CCS|Biomass","Mt CO2/yr","",0,0,"",0,"",110.2349,"",1963.8959,"",4531.4441,"",6895.5093,"",8731.1341,"",9563.2304,"",10320.7536,"",11129.2194
