Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,0,,583.6575875,,2115.758755,,3769.455253,,4912.451362,,5398.832685,,5885.214008,,6225.680934
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,0,,899.8054475,,2553.501946,,4571.984436,,5982.490272,,6687.743191,,7344.357977,,7976.653696
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,0,,924.1245136,,2918.287938,,4985.40856,,6541.828794,,7441.634241,,8292.801556,,9046.692607
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,0,,1337.548638,,3623.540856,,6031.128405,,7733.463035,,8584.63035,,9338.521401,,9946.498054
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,0,,1361.867704,,3818.093385,,6322.957198,,8146.88716,,9095.330739,,10043.77432,,10967.89883
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,0,,727.739726,,2654.109589,,4537.671233,,5693.493151,,6035.958904,,6250,,6250
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,72.95719844,,1580.7393,,3647.859922,,5325.875486,,6006.809339,,6250,,6493.190661,,6712.062257
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,72.95719844,,1750.972763,,4061.284047,,6128.404669,,7392.996109,,8049.610895,,8730.544747,,9387.159533
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,72.95719844,,1848.249027,,4231.51751,,6517.509728,,7757.782101,,8438.715953,,9119.649805,,9800.583658
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,72.95719844,,2237.354086,,4863.81323,,7149.805447,,8390.077821,,9022.373541,,9654.669261,,10286.96498
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,72.95719844,,2285.992218,,5301.55642,,7928.015564,,9387.159533,,10165.36965,,11040.85603,,11940.66148
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,,72.95719844,,1755.136986,,4152.39726,,6078.767123,,6977.739726,,7148.972603,,7234.589041,,7277.39726
