Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Final Energy,EJ/yr,,334.1608,363.2666,395.1691,429.225,385.7726,357.2447,359.4925,367.6822,377.3781,397.9999,412.7697,429.9472,446.1896,459.8516,468.0685,479.5921,489.5081,498.433,517.6477,524.0021
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Final Energy,EJ/yr,,334.1608,363.2666,395.1673,429.2076,392.0572,372.185,398.3182,428.5048,454.0163,475.8979,489.884,500.1859,506.636,525.0792,541.8233,556.4665,569.439,579.6221,587.6281,589.9357
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Final Energy,EJ/yr,,334.1608,363.2666,395.1673,429.2076,392.0961,371.949,369.9197,391.2446,412.3003,430.7277,442.1318,444.3923,446.113,463.2283,478.6681,493.8867,507.3304,516.9544,523.0791,526.0832
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Final Energy,EJ/yr,,334.1608,363.2658,395.1666,427.4082,445.4273,458.5632,416.3049,403.9794,429.3336,449.61,466.3621,481.3713,487.813,508.1055,525.8535,543.3047,558.6866,568.8793,574.8039,576.9094
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Final Energy,EJ/yr,,334.1608,363.3337,396.5166,429.8487,445.792,458.2498,355.6357,366.6559,377.8816,393.1154,405.1339,419.3446,434.1325,445.0109,455.2617,467.5039,477.7979,486.2375,503.7576,510.2482
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Final Energy,EJ/yr,,334.1608,363.2658,395.1666,427.4082,445.4273,458.5632,416.0411,403.649,389.5626,406.1247,416.7725,424.2715,427.6223,440.8957,455.5634,469.8857,482.7607,492.8544,500.0205,504.7931
AIM/CGE 2.0,ADVANCE_INDC,World,Final Energy,EJ/yr,,334.1608,363.3337,396.2206,429.4689,447.8302,460.1276,475.5213,491.0943,507.2012,521.6761,534.7924,548.0024,522.9017,528.3219,532.5215,537.5308,541.8755,546.1222,551.7994,556.1698
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Final Energy,EJ/yr,,334.1608,363.2582,397.0874,434.322,468.1685,498.2469,525.9129,552.0869,573.6666,590.5196,606.8354,623.4162,640.1144,658.8269,675.732,688.8004,698.4782,708.728,716.0434,718.9629
AIM/CGE 2.0,ADVANCE_Reference,World,Final Energy,EJ/yr,,334.1608,363.3337,396.2206,429.4689,464.3072,495.3509,523.819,550.5221,573.0981,590.8244,608.0818,624.9,640.9493,657.9483,675.3398,690.7642,704.2584,711.1308,714.4866,719.9565
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Final Energy,EJ/yr,,334.1608,356.4662,379.1113,401.9117,371.1758,344.8468,359.2151,372.1096,385.9558,398.587,406.3974,413.8607,422.3806,430.3858,439.9779,449.4423,458.2845,466.4654,474.5575,482.0096
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,World,Final Energy,EJ/yr,,334.1608,356.4662,379.1113,401.9117,405.8128,408.5542,415.2062,422.2742,437.2407,453.0102,466.0605,474.1353,480.7359,483.5185,490.2587,498.0738,505.5786,512.2647,519.7117,527.3693
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,World,Final Energy,EJ/yr,,334.1608,356.4429,385.4522,419.5945,450.2459,477.3815,502.66,525.6408,544.8386,560.1985,572.1141,584.9859,598.0017,609.7642,619.7392,628.7858,638.2836,643.8763,650.4963,654.6344
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,World,Final Energy,EJ/yr,,334.1608,349.6409,365.7538,383.3364,355.2197,323.4486,329.8593,334.1177,339.5868,340.7923,342.3025,342.5921,345.2912,345.8846,349.4693,352.8723,355.4231,356.8938,357.5464,357.6842
